scenario,month,Vulnerability (average effect),Vulnerability (average effect)_lo,Vulnerability (average effect)_hi,Protection risk (average effect),Protection risk (average effect)_lo,Protection risk (average effect)_hi,Basic needs gap (average effect),Basic needs gap (average effect)_lo,Basic needs gap (average effect)_hi,Education access (average effect),Education access (average effect)_lo,Education access (average effect)_hi,Morbidity (average effect),Morbidity (average effect)_lo,Morbidity (average effect)_hi,Service efficiency (average effect),Service efficiency (average effect)_lo,Service efficiency (average effect)_hi
Current,4,0.47402914909526783,0.4737631246200663,0.47424397661412543,0.4705356799297866,0.4702822070404828,0.47083893224221557,0.4637701806826978,0.46347853750785906,0.4640580681012168,0.4427048177603747,0.4424995126899703,0.44304873072530493,0.46468276243946677,0.46437129778546404,0.464934672937788,0.4363500980873625,0.43609055438305494,0.4366225262984017
Current,5,0.4789589021727469,0.47872546140499084,0.47928101392276623,0.47649532948976436,0.47622024366397037,0.4768226575387758,0.467762232133237,0.46745731421395165,0.4680485611399652,0.4407457024518119,0.4404854294277219,0.4411157626547779,0.467680372415177,0.4673623135200905,0.46791917224120694,0.4344191114978452,0.43403538138006703,0.43483360996646697
Current,6,0.4838954530088227,0.4836428940929432,0.4841765534105465,0.4824665263098574,0.48211624562366723,0.48282859224615304,0.4717119857827746,0.471321156047154,0.47203214781017677,0.43877349010159666,0.4385182560393158,0.4391733502736221,0.4706430660966398,0.47033996465866446,0.47093647668167765,0.43245609517126393,0.432072327616455,0.43282857031947586
Current,7,0.4888715340195905,0.4885222674193164,0.4892135479710526,0.4884453176305912,0.4880868316455107,0.488901685432386,0.4757165010423255,0.4752690697081585,0.47608338171466125,0.4368124468089024,0.43655153997730717,0.4372464276676332,0.4736070054627133,0.47323234403159264,0.4739983912264788,0.4304718405107438,0.43003741446521254,0.43079603104771175
Current,8,0.49384941351525774,0.4935411761122911,0.4943089631995317,0.49436844771064525,0.4939291630195366,0.4947593593791187,0.4796838479108456,0.47924427926185703,0.48002682413772824,0.4348555158496349,0.43456835804911714,0.4352729811246795,0.4765911548905145,0.4762104425156839,0.47693262138188264,0.4285493789535172,0.42812505775778265,0.4289312713967353
Current,9,0.498795880184673,0.4984185808218077,0.49926533466805306,0.5003124412615364,0.4999834415178407,0.5006002029484655,0.4836333528111102,0.4832006354333571,0.48401199663791455,0.43290127005582113,0.4326060107604198,0.4334486437078083,0.47956768764690577,0.47913506133839845,0.47993487741908797,0.42658992211012253,0.42612419133635615,0.4270602282814287
Current,10,0.5037184029972607,0.5033547144795547,0.5041106008738563,0.506246495081881,0.5058504079921211,0.5065982355757167,0.48757448034888345,0.48703333938121657,0.4881190379346307,0.4309726122297377,0.4306241539289056,0.4316048931931241,0.4825660989304076,0.48209623761954085,0.4830292332066304,0.42460262472304855,0.42409200936090874,0.42504992201611236
Current,11,0.5086566411195149,0.5082227303564302,0.5091406393334673,0.5121745628509566,0.5117825271913635,0.5126117342933475,0.49155623353236005,0.4910701243118227,0.49212694723253164,0.4290244563643408,0.428673487472598,0.4297414356404764,0.4855047020720192,0.48491430247468836,0.4859473845693068,0.4225959142021839,0.42208907892732594,0.4231302951600411
Current,12,0.5135632988502745,0.5131545748697065,0.514065246012117,0.5180921146298143,0.5177917378420799,0.5184602362491771,0.4955055926617599,0.4950274333264879,0.4960911301189365,0.4270851413711677,0.4267134157328666,0.42787209152320094,0.48850479663988855,0.48799134171964703,0.489022618092838,0.420616737376167,0.42008066818994816,0.42106545198244766
Durable Solutions,0,0.45413930969986077,0.4541393096998609,0.4541393096998609,0.44665318244415764,0.44665318244415764,0.44665318244415764,0.44785200362117716,0.4478520036211772,0.4478520036211772,0.4505449397667346,0.45054493976673454,0.45054493976673454,0.4527179598584697,0.45271795985846963,0.45271795985846963,0.44421819971422105,0.44421819971422094,0.44421819971422094
